name,std_name
Bananas,Banana
CanadianProtein,Protein Supplement
Mass Gainer,Protein Supplement
Chicken Breast,Chicken Breast
Quinoa,Quinoa
Pork Loin (Country-Style Ribs),Pork Loin (Country-Style Ribs)
All Natural Peanut Butter,All Natural Peanut Butter
12 Grain Bagels,12 Grain Bagels
Banana,Banana
"Recovery Formula, Chocolate",Protein Supplement
Tandoori Style Naan,Tandoori Style Naan
Olive Oil,Olive Oil
Butter Seitan,Butter Seitan
Chicken Thigh (Skin Not Eaten),Chicken Thigh (Skin Not Eaten)
Salmon Poke Bowl,Salmon Poke Bowl
Walnuts,Walnuts
Longos Butter Chicken,Longos Butter Chicken
French Vanilla Yogurt,French Vanilla Yogurt
Jasmine Rice,Jasmine Rice
Chicken Leg (Skin Not Eaten),Chicken Leg (Skin Not Eaten)
Large Eggs,Eggs
Nuttin Better Booster Juice,Nuttin Better Booster Juice
Five Grain Granola,Five Grain Granola
"Raisin, Five Grain Granola","Raisin, Five Grain Granola"
Oaxaca Bowl,Oaxaca Bowl
Thai Peanut Chicken,Thai Peanut Chicken
"Pork Loin (Country-Style Ribs, Lean Only)","Pork Loin (Country-Style Ribs, Lean Only)"
First Canadian Place Bowl,First Canadian Place Bowl
Maple Pecan,Maple Pecan
Pad Thai Noodles,Pad Thai Noodles
Rice-Vegetable Medley,Rice-Vegetable Medley
Seasoned Potato Wedges,Seasoned Potato Wedges
Vegetarian Poke Bowl,Vegetarian Poke Bowl
Sweet Potato,Sweet Potato
Superfood Salad Blend,Superfood Salad Blend
Green Curry,Green Curry
Pistachio Nuts,Pistachio Nuts
Love Crunch,Love Crunch
Yam Fries,Yam Fries
Chinese Fried Rice,Chinese Fried Rice
Chicken Stir Fry,Chicken Stir Fry
Long Grain & Wild Rice,Long Grain & Wild Rice
Coconut Greek Yogurt,Coconut Greek Yogurt
"Hemp Yeah Granola, Honey & Oats","Hemp Yeah Granola, Honey & Oats"
Nuttin' Better (Regular),Nuttin' Better (Regular)
Chicken Alfredo,Chicken Alfredo
Red Potato Salad,Red Potato Salad
Organic Hemp Granola Dark Chocolate,Organic Hemp Granola Dark Chocolate
Butter Chicken,Butter Chicken
Bangin’ Beef Bologna's,Bangin’ Beef Bologna's
Cheese Tortellini,Cheese Tortellini
Morrocan Chicken,Morrocan Chicken
Egg,Eggs
Lucky Seven Shepherds Pie,Lucky Seven Shepherds Pie
Meatballs with Sauce (Mixture),Meatballs with Sauce (Mixture)
Grilled Chicken,Grilled Chicken
Love Crunch Dark Chocolate Macaroon,Love Crunch Dark Chocolate Macaroon
"Potatoes (Skin, Without Salt, Baked)","Potatoes (Skin, Without Salt, Baked)"
Vegetable Stir Fry,Vegetable Stir Fry
Chicken Sandwich,Chicken Sandwich
Wholegrain Basmati,Wholegrain Basmati
Chinese Style Lemon Chicken,Chinese Style Lemon Chicken
Egg Salad Sandwich,Egg Salad Sandwich
Wheatberry Salad,Wheatberry Salad
Egg bites,Egg bites
"Shelled Pistachios, Roasted and Salted","Shelled Pistachios, Roasted and Salted"
Corn,Corn
Chicken Shawarma,Chicken Shawarma
Sliced Almonds,Sliced Almonds
beef with veggies,beef with veggies
Extra Virgin Olive Oil,Extra Virgin Olive Oil
"Eggs, Brown, Large","Eggs, Brown, Large"
Reduced fat turkey and egg sandwich,Reduced fat turkey and egg sandwich
Quinoa (Cooked),Quinoa (Cooked)
Krema Vanilla Greek Style Yogurt,Krema Vanilla Greek Style Yogurt
Baked or Broiled Salmon,Baked or Broiled Salmon
Mashed Potato,Mashed Potato
Whey Protein Isolate,Whey Protein Isolate
Chicken Salad,Chicken Salad
Coconut Lime Steak,Coconut Lime Steak
Poke Bowl,Poke Bowl
"Potatoes (Flesh, Without Salt, Baked)","Potatoes (Flesh, Without Salt, Baked)"
Shepherds Pie,Shepherds Pie
Greek Salmon,Greek Salmon
Shredded Coconut,Shredded Coconut
Honey Mustard Chicken,Honey Mustard Chicken
Chinese Chicken Stir Fry,Chinese Chicken Stir Fry
